ID відповіді,Чи повністю заповнене,Остання сторінка,Дата початку,Дата останньої дії,Чи згодні Ви взяти участь в опитуванні?,Чи виповнилося Вам 18 років?,"Чи брали Ви участь хоча б один раз у протестах, що почалися 16 липня після того, як Михайла Федорова не було повторно призначено міністром оборони?",Ваша стать:,Скільки Вам повних років?,В якій області Ви зараз проживаєте?,Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у школі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у ПТУ/коледжі/училищі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у закладі вищої освіти (студент/курсант/аспірант)],Що найкраще описує рід Вашої діяльності зараз? [Перебуваю у ЗСУ],Що найкраще описує рід Вашої діяльності зараз? [Працюю],Що найкраще описує рід Вашої діяльності зараз? [У декреті або піклуюсь про дитину/інших осіб],Що найкраще описує рід Вашої діяльності зараз? [На пенсії],"Що найкраще описує рід Вашої діяльності зараз? [Не працюю (не маю оплачуваної роботи, не в декреті, не на пенсії, не навчаюсь)]",Що найкраще описує рід Вашої діяльності зараз? [Інше],У якому місті (яких містах) Ви виходили на протест?,Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Мене покликали родичі/друзі/знайомі],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) дописи або повідомлення від людей, яких я знаю особисто, у соцмережах]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) заклик від медіа, блогерів або в тематичних протестних спільнотах, на які я підписаний(-а)]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приєднався(-лась) до організованої групи, до якої належу (студентська спільнота, громадська організація тощо)]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Опинився(-лась) поруч і вирішив(-ла) приєднатися],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приклад родичів/друзів/знайомих, які виходили раніше]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Інше],"Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [З груп/каналів/чатів у соцмережах/месенджерах, присвячених протесту]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Випадково натрапив(-ла) на інформацію у стрічці соцмереж або в месенджерах]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Через новини (новинні сайти, ТБ, друковані медіа, YouTube-канали медіа, новинні Telegram канали тощо)]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Від знайомих/друзів/членів сім’ї/колег]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Інше]",Як би Ви сформулювали мету своєї участі в цих зібраннях?,"Чи виходили Ви на протести після того, як Михайло Драпатий замінив Олександра Сирського на посаді головнокомандувача ЗСУ?",А чи плануєте Ви у найближчий тиждень виходити на протести?,"Якщо Михайла Федорова призначать міністром оборони, чи продовжите Ви виходити на протести у найближчий тиждень після цього?","Припустимо, міністром оборони стане не Федоров, а інша людина, яка публічно зобов'яжеться продовжувати розпочаті ним реформи. Чи продовжите Ви виходити на протести у найближчий тиждень після цього?",Наскільки Ви довіряєте... [Володимиру Зеленському],Наскільки Ви довіряєте... [Михайлу Федорову],Наскільки Ви довіряєте... [Олександру Сирському],Наскільки Ви довіряєте... [Михайлу Драпатому],Наскільки Ви довіряєте... [Ігорю Клименку],Наскільки Ви довіряєте... [Євгенію Хмарі],Яким українським політичним діячам Ви довіряєте найбільше?,"У політиці люди часто говорять про ""лівих"" та ""правих"". Де б Ви розташували себе на цій шкалі, якщо 0 означає ""Ліві"", а 10 означає ""Праві""?","Наскільки Ви погоджуєтесь або не погоджуєтесь із твердженням: ""Слухняність і повага до влади – це найважливіші цінності, які повинні засвоїти діти""?","Наскільки для Вас прийнятно, щоб в Україні був сильний лідер, який стоїть над законом?","Чи брали Ви участь в акціях протесту проти закону №12414, котрий обмежував повноваження НАБУ та САП, хоча б один раз протягом 22-31 липня 2025 року?"
435,Так,10,2026-08-10 10:42:05,2026-08-10 10:57:30,Так,Так,Так,Жіноча,27,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Ні,Ні,Ні,Так,,Ні,Так,Ні,Так,,"Домогтися кадрових рішень, які сприятимуть нашій обороноздатності, зокрема — звільнення Сирського і повернення Федорова на посаду МО;
 Створити опір корупційним схемам, продемонструвати, що громадянське суспільство прагне системних змін в армії, закупівлях і управлінських підходах; закликати ВР проявити власну субʼєктність",Так,Безумовно так,Скоріше ні,Безумовно так,3,6,1 - Зовсім не довіряю,6,4,4,Федоров,4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
436,Так,10,2026-08-10 10:45:33,2026-08-10 10:51:49,Так,Так,Так,Жіноча,19,Чернівецька,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Чернівці,Так,Так,Ні,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,суд сирського,Так,Скоріше так,Важко відповісти,Важко відповісти,2,6,1 - Зовсім не довіряю,6,4,5,Михайлу Федорову,3,Не погоджуюсь,10 - Цілком прийнятно,Ні
437,Ні,5,2026-08-10 10:49:06,2026-08-10 10:50:19,Так,Так,Так,Жіноча,18,Чернівецька,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Чернівці,Так,Так,Ні,Ні,Ні,Ні,,Ні,Ні,Ні,Так,,,,,,,,,,,,,,,,,
438,Так,10,2026-08-10 10:52:19,2026-08-10 10:58:38,Так,Так,Так,Жіноча,18,Київська,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Так,Так,Ні,,"Показати, що мені не всеодно на те що відбувається",Так,Безумовно так,Скоріше ні,Важко відповісти,2,6,2,5,Важко сказати,4,Важко сказати,6,Не погоджуюсь,1,Так
439,Так,10,2026-08-10 10:52:47,2026-08-10 10:58:31,Так,Так,Так,Жіноча,21,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Тільки Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Так,,"Домогтись комунікації між владою та народом. Повернення Михайла Федорова на посаду, в майбутньому прозоро повідомляти про такі кардинальні зміни в посадах, які багато що вирішують",Так,Безумовно так,Важко відповісти,Безумовно так,3,6,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,6,"Нікому не можна довіряти. Вони політики, за ними потрібно спостерігати постійно",7,Зовсім не погоджуюсь,Важко сказати,Так
440,Так,10,2026-08-10 10:53:49,2026-08-10 10:59:21,Так,Так,Так,Жіноча,19,Київська,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Моя власна позиція,Так,Так,Ні,Ні,,Відновити право України на перемогу та подолати корупційні схеми в найважливішому міністерстві,Так,Безумовно так,Скоріше ні,Скоріше так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,Важко сказати,,Важко сказати,Не погоджуюсь,0 - Зовсім неприйнятно,Ні
441,Так,10,2026-08-10 10:59:24,2026-08-10 11:03:59,Так,Так,Так,Жіноча,26,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,Мета - повернення Федорова на посаду МО!,Так,Скоріше ні,Скоріше так,Скоріше так,4,6,2,6,"Не знаю, хто це","Не знаю, хто це","Михайло Драпатий, Михайло Федоров",Важко сказати,Не погоджуюсь,Важко сказати,Ні
442,Так,10,2026-08-10 11:30:10,2026-08-10 11:41:10,Так,Так,Так,Жіноча,24,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Так,,Так,Ні,Ні,Так,,"Я хочу жити в демократичній країні. Звільнення Михайла Федорова - лише один із прикладів самовільно прийнятих рішень, які нікому не підуть на користь.",Так,Безумовно так,Скоріше так,Скоріше так,4,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,Важко сказати,5,Михайло Федоров,Важко сказати,Зовсім не погоджуюсь,Важко сказати,Так
443,Так,10,2026-08-10 11:30:39,2026-08-10 11:38:27,Так,Так,Так,Жіноча,18,Чернівецька,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Чернівці,Так,Так,Ні,Ні,Ні,Ні,,Так,Так,Ні,Ні,,"Вираження свого невдоволення рішеннями влади, прагнення виправити проблеми. Повернення Федорова в МО, Мін Ветеранів має бути ветеран. Прозора комунікація з народом",Так,Безумовно так,Скоріше ні,Важко відповісти,2,5,1 - Зовсім не довіряю,6,3,5,Інна Совсун,2,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
444,Так,10,2026-08-10 11:32:52,2026-08-10 11:36:31,Так,Так,Так,Жіноча,28,м. Київ,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Так,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Так,,Висловити протест проти узурпації влади та добитися справедливих кадрових та правових рішень,Так,Скоріше так,Важко відповісти,Важко відповісти,4,6,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,Не можу сказати,5,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
445,Ні,6,2026-08-10 11:43:59,2026-08-10 11:47:22,Так,Так,Так,Жіноча,37,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Так,Ні,,Ні,Так,Ні,Ні,,Перемога України у війні,,,,,,,,,,,,,,,
446,Так,10,2026-08-10 11:44:17,2026-08-10 11:49:39,Так,Так,Так,Чоловіча,28,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Свідома громадянська позиція,Так,Ні,Ні,Ні,,"Донесення до влади суспільного невдоволення прийняттям кадрових рішень у спосіб, що не відповідає Конституції та іншим законам України",Так,Скоріше так,Скоріше так,Скоріше так,1 - Зовсім не довіряю,5,1 - Зовсім не довіряю,5,2,4,Жоден з поточних політичних діячів не викликає в мене відчуття глибокої довіри,6,Не погоджуюсь,0 - Зовсім неприйнятно,Так
447,Так,10,2026-08-10 11:46:08,2026-08-10 12:08:58,Так,Так,Так,Жіноча,38,Чернівецька,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Чернівці,Ні,Так,Ні,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,"Кардинальне реформування системи оборони та очищення її від корупції у сфері військових закупівель і зведення захисту для енергетичних підстанцій. Відмова від застарілих радянських підходів до управління та ліквідації схем із закупівлею непотрібного озброєння, натомість поставити в центр військової стратегії збереження життів особового складу через масштабну технологізацію війни, розвиток воювання дронами а не людьми. Свобода слова для військовослужбовців, негайне припинення тиску та погроз за критику реального стану справ у війську, а також поновлення Михайла Федорова на посаді міністра оборони як представника системних технологічних змін і прозорості.",Так,Безумовно так,Скоріше так,Скоріше так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,Важко сказати,Я хочу бачити результати. Хто саме їх дасть - не так важливо.,Важко сказати,Не погоджуюсь,0 - Зовсім неприйнятно,Ні
448,Так,10,2026-08-10 11:50:03,2026-08-10 11:57:03,Так,Так,Так,Жіноча,36,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Побачила у Тредсі,Ні,Ні,Ні,Ні,Тредс,"Мета Повернення Михайла Федорова на посаду міністра оборони. Бо людина компетентна, з планом, візією і баченням. Особливо імпонує переведення закупівель на тендери. Бо корупція вбиває. А всі попередники - зовсім не компетентні.",Так,Безумовно так,Важко відповісти,Безумовно так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,1 - Зовсім не довіряю,Михайло Федоров,Важко сказати,Не погоджуюсь,Важко сказати,Так
449,Так,10,2026-08-10 11:59:04,2026-08-10 12:05:36,Так,Так,Так,Жіноча,24,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Ні,Ні,Ні,Ні,Власна громадська позиція,Так,Ні,Так,Ні,,"Обурення не обґрунтованим та не пояснюваним діям влади, в тому числі кадрові перестановки",Так,Важко відповісти,Скоріше ні,Важко відповісти,4,6,2,6,2,6,Шмигаль,5,Не погоджуюсь,1,Так
450,Так,10,2026-08-10 12:04:30,2026-08-10 12:18:55,Так,Так,Так,Жіноча,23,Київська,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,"Ще до закликів в соц. мережах відчула обурення після відставки Федорова. Коли побачила, що люди виходять на акцію протесту, зрозуміла, що я повинна там бути і я повністю розділяю їх обурення",Ні,Так,Так,Ні,,"Протест - це волевиявлення народу. Зараз люди обурені не тільки цими дивними кадровими рішеннями, які нам, навіть, нормально не пояснили і не аргументували, а ще й відсутністю комунікації з боку держави. Ігнорувати людей - неприпустимо. Тому ми виходимо до тих пір, поки вимоги не будуть виконані, і першочергова вимога - повернення Михайла Федорова на посаду міністра оборони України.",Так,Безумовно так,Скоріше ні,Важко відповісти,2,7 - Повністю довіряю,1 - Зовсім не довіряю,6,2,3,"Федоров, Драпатий, Стерненко (був політичним діячем на посту радника)",5,Не погоджуюсь,0 - Зовсім неприйнятно,Ні
451,Так,10,2026-08-10 12:15:17,2026-08-10 12:28:11,Так,Так,Так,Чоловіча,24,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Ні,Так,Так,Ні,,"Спочатку, до брифінгу Федорова я протестував несправедливому рішенню президента. Звільняти ефективних та медійних, але залишати мясника головкома, який досі не відповів за розгортання своєї ""гвардії"" та усіх тих випадків, коли українські Воїни були відправлені на штурм, який не переслідував жодної цілі. За справедливість стояв спочатку, і продовжую за неї стояти після брифінгу, але вже з урахуванням того, що президент, ОП, ВР та інші це шайка крадіїв та мародерів що наживаються під час війни, і не чують народ. Змінимось або загинемо усі разом. Треба стратегія ведення війни, стратегія ведення перемовин, яка лише похідна від першої, чіткі плани, реформація війська, судова реформа, мобілізаційна та демобілізаційна реформи, інвестування довгострокових критичних проєктів (супутниковий зв'язок, балістика, РЕБ, перехоплювачі, роботизований штурм).",Так,Безумовно так,Скоріше ні,Скоріше так,1 - Зовсім не довіряю,6,3,6,1 - Зовсім не довіряю,4,"Федоров, Шмигаль, Корецький, Залужний",5,Зовсім не погоджуюсь,4,Так
452,Так,10,2026-08-10 12:26:39,2026-08-10 12:44:55,Так,Так,Так,Чоловіча,19,Київська,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Так,Так,Ні,,"моя мета перебування на протесті полягає в тому, що я проти диких кадрових рішень влади, проти репресій військових, якими займався Сирський, проти ручного управління владою та за те, щоб кожен займався інституційними питаннями які прописані в законі, а не бо так вирішив керівник якогось відомства чи президент, також вийшов за те, щоб парламент мав субʼєктність, за повернення Михайла Федорова на посаду Міністра оборони України, щоб він продовжив реформи закупівель.",Так,Безумовно так,Безумовно так,Скоріше так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,Важко сказати,"Федоров, хоч і не зовсім політичний, більше нікому",7,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
453,Так,10,2026-08-10 12:30:24,2026-08-10 12:34:20,Так,Так,Так,Жіноча,31,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Так,Ні,Так,,"Спонукати владу і, зокрема, президента Зеленського дослухатися до свого народу і не ігнорувати протести, а також не звільняти ефективних міністрів, які боряться в тому числі з корупцією.",Так,Безумовно так,Точно ні,Скоріше ні,1 - Зовсім не довіряю,7 - Повністю довіряю,2,7 - Повністю довіряю,1 - Зовсім не довіряю,1 - Зовсім не довіряю,"Михайло Федоров, Михайло Драпатий",5,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
454,Так,10,2026-08-10 12:38:08,2026-08-10 13:00:14,Так,Так,Так,Жіноча,31,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Так,Ні,Ні,,Так,Ні,Так,Ні,,"Основною метою в перший день мітингу було звернення до Верховної Ради про відмову голосування за нового міністра оборони та подання президентом повернення Федорова
Надалі до цієї мети додалося:
Вимога зміни Головнокомандувача ЗСУ
Заклик до Верховної Ради вийти на роботу та виконувати її доброчесно.
Наразі основною метою є вимога в комунікації президента з громадянами,пояснення причин кадрових рішень",Так,Скоріше так,Важко відповісти,Скоріше так,2,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,3,5,"Федоров,Буданов,Драпатий,Білецький,Кулеба( хоч і не обіймає держаної посади)",5,"Наскільки погоджуюсь, настільки і не погоджуюсь",5,Ні
455,Так,10,2026-08-10 12:38:13,2026-08-10 12:46:59,Так,Так,Так,Жіноча,36,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Ні,Так,Так,Ні,,Мета базова: повернення Федорова на посаду МО. Додаткова: відчути що мій голос має значення.,Так,Скоріше так,Скоріше ні,Скоріше ні,3,5,3,6,3,5,"Федоров, Білецький, Лозинський",4,"Наскільки погоджуюсь, настільки і не погоджуюсь",2,Ні
456,Так,10,2026-08-10 12:47:36,2026-08-10 12:54:57,Так,Так,Так,Жіноча,28,Одеська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Одеса,Ні,Ні,Ні,Ні,Ні,Ні,"Побачила новини в телеграм і тредс, вирішила доєднатися",Ні,Так,Ні,Ні,,"Першочергова мета була повернути ефективного міністра оборони на посаду, з якої він був звільнений без причин і пояснень. На даний час є повне невдоволення кадровими рішеннями влади і ігнорування народу.",Так,Безумовно так,Важко відповісти,Безумовно так,2,6,1 - Зовсім не довіряю,5,Важко сказати,Важко сказати,"Драпатий, Федоров",4,Не погоджуюсь,1,Ні
457,Так,10,2026-08-10 12:51:19,2026-08-10 12:54:37,Так,Так,Так,Жіноча,40,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Прочитала новини,Так,Ні,Ні,Ні,,Почати міняти систему корумпованої та одноосібної влади,Так,Безумовно так,Безумовно так,Безумовно так,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,5,"Інна Совсун, Білецький, Федоров, Драпатий",5,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
458,Так,10,2026-08-10 13:01:26,2026-08-10 13:05:20,Так,Так,Так,Жіноча,23,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Ні,Ні,Так,Ні,,"Висловити громадянську позицію, щоб суспільство почули та повернули Федорова на посаду міністра МОУ",Так,Безумовно так,Скоріше так,Скоріше так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,Важко сказати,5,"Федоров, Буданов, Кулеба, Корецький",4,Зовсім не погоджуюсь,2,Ні
459,Так,10,2026-08-10 13:01:47,2026-08-10 13:11:06,Так,Так,Так,Чоловіча,24,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Ні,Ні,Ні,Ні,,Ні,Так,Так,Ні,,Бажання щоб влада вела діалог з народом. Незрозуміла кадрова політика,Так,Безумовно так,Точно ні,Важко відповісти,3,6,1 - Зовсім не довіряю,7 - Повністю довіряю,2,6,"Федоров, Лозинський",4,Не погоджуюсь,0 - Зовсім неприйнятно,Ні
460,Так,10,2026-08-10 13:12:04,2026-08-10 13:24:40,Так,Так,Так,Жіноча,28,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,"Бажання вийти на протест виникло від новин про кадрові зміни, а не від закликів інших",Ні,Ні,Ні,Ні,Threads,"Я виходжу на протест, бо хочу жити в країні, де влада підзвітна людям, а не навпаки. Бо хочу захистити демократичні принципи. Бо хочу, щоб важливі рішення для країни приймали ефективні та професійні люди, а не лояльні до президента, які замішані у корупційних скандалах. Бо корупція, яка у міністерстві оборони, і яку намагаються захистити кадровими рішеннями, вбиває наших громадян і не веде нас до перемоги. Мені та моїм дітям жити в цій країні, і мені не байдуже",Так,Безумовно так,Важко відповісти,Безумовно так,1 - Зовсім не довіряю,6,2,5,1 - Зовсім не довіряю,3,"Федоров, Гудименко, Притула, Железняк, Совсун, Юрчишин",7,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
461,Так,10,2026-08-10 13:23:30,2026-08-10 13:27:44,Так,Так,Так,Жіноча,21,Київська,Ні,Ні,Ні,Ні,Ні,Ні,Так,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,За власним бажанням,Ні,Так,Ні,Ні,,"Повернення Федорова до МО, бо він зробив дуже багато для фронту і це дуже важливо для України і для окупованих територій.",Так,Важко відповісти,Безумовно так,Безумовно так,4,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,"Не знаю, хто це",Важко сказати,ФЕДОРОВ!,5,"Наскільки погоджуюсь, настільки і не погоджуюсь",10 - Цілком прийнятно,Ні
462,Так,10,2026-08-10 13:25:48,2026-08-10 13:48:47,Так,Так,Так,Жіноча,27,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,Тредс,"Нагадати чинному уряду про те, які обов’язки вони мають виконувати 
Для мене, перш за все, тригером стала не сама відставка Федорова як МО, а загальні безпринципність, погана робоча результативність та безкарність до злочинів поточних депутатів Ради, партії при владі та місцевого самоврядування. Цей безлад на всіх рівнях влади вже неможливо терпіти і як небайдужа громадянка, вважаю недоторканим своє громадянське право відстоювати зміни на краще в країні, інакше при ми ніколи не вступимо в ЄС!",Ні,Скоріше так,Скоріше так,Скоріше так,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,5,Важко сказати,2,"Железняк,громадський діяч Стерненко, Залужний, Олег Ляшко, Кулеба",8,Не погоджуюсь,6,Ні
463,Так,10,2026-08-10 13:25:50,2026-08-10 13:30:44,Так,Так,Так,Жіноча,35,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Діалог влади і суспільства, завдання влади на думку суспільства",Так,Безумовно так,Скоріше ні,Важко відповісти,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,5,1 - Зовсім не довіряю,Важко сказати,"Федоров, Драпатий",5,Важко сказати,0 - Зовсім неприйнятно,Так
464,Так,10,2026-08-10 13:26:25,2026-08-10 13:55:00,Так,Так,Так,Чоловіча,38,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Я слідкую за новинами. Коли стало зрозуміло що пан Президент не збирається внести кандидатуру Михайла Федорова на посаду МОУ став писати заклики в фб виходити на протест.,Ні,Ні,Ні,Ні,На самих протестах,Моя мета донести до пана Президента загальнонаціональну волю українського народу яка полягає в забезпеченні належної боротьби з корупцією в МО,Так,Безумовно так,Точно ні,Безумовно так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,4,В'ячеславу Чороноволу,Важко сказати,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
465,Так,10,2026-08-10 13:33:58,2026-08-10 13:37:41,Так,Так,Так,Жіноча,26,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Повернення колишнього МО Федорова на посаду, відкритий діалог з народом і справедливі призначення",Так,Скоріше так,Важко відповісти,Важко відповісти,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,3,Важко сказати,Федоров,3,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
466,Так,10,2026-08-10 13:34:09,2026-08-10 13:38:53,Так,Так,Так,Жіноча,19,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Проаналізувала новини,Ні,Ні,Ні,Ні,Тредс!,"Повернути ефективного міністра оборони, який дійсно багато чого зробив.",Так,Безумовно так,Важко відповісти,Важко відповісти,2,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,3,"Федоров, Драпатий, Залужний",5,Зовсім не погоджуюсь,Важко сказати,Так
467,Так,10,2026-08-10 13:43:36,2026-08-10 13:59:36,Так,Так,Так,Жіноча,33,Чернігівська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,"Чернігів , Київ",Ні,Ні,Ні,Ні,Ні,Ні,"Побачила пости людей (не блогерів), які збираються на площах міст о 09.01.",Ні,Так,Ні,Ні,,"Показати, що спільнота не «хаває» будь-які рішення влади. Особисто я покладала надії на зміни в системі компетенції міністерства оборони.",Так,Скоріше так,Скоріше ні,Скоріше ні,4,5,4,6,3,6,"Ярослав Железняк, Андрій Білецький, Роман Грищук",7,"Наскільки погоджуюсь, настільки і не погоджуюсь",0 - Зовсім неприйнятно,Ні
468,Так,10,2026-08-10 13:45:26,2026-08-10 13:51:49,Так,Так,Так,Жіноча,30,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,"Львів, Київ",Ні,Ні,Так,Ні,Ні,Ні,,Ні,Так,Так,Ні,,"Я щиро вважаю що це рішення неправильне і може нашкодити Україні. Вийти і сказати що я не згодна - це мінімум який я можу зробити, адже якщо ми будемо мовчати то звідки влада дізнається що люди не погоджуються з її рішенням.",Так,Скоріше так,Скоріше ні,Скоріше так,3,6,2,7 - Повністю довіряю,2,4,"Зараз найбільше довіри у мене до Федорова. А вцілому майже нікому, як на мене найбільш нагальне питання після закінчення війни - вибори",3,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
469,Так,10,2026-08-10 13:57:30,2026-08-10 14:01:08,Так,Так,Так,Жіноча,21,Чернівецька,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Чернівці,Ні,Так,Так,Ні,Ні,Ні,,Ні,Так,Так,Ні,,Повернення демократії в країні,Так,Скоріше так,Важко відповісти,Скоріше так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,"Не знаю, хто це",Федоров,Важко сказати,Зовсім не погоджуюсь,Важко сказати,Ні
470,Так,10,2026-08-10 13:59:53,2026-08-10 14:04:22,Так,Так,Так,Жіноча,33,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Так,Ні,,"Діалог з владою
Федорова- МО",Так,Безумовно так,Скоріше так,Безумовно так,3,7 - Повністю довіряю,1 - Зовсім не довіряю,6,Важко сказати,5,"Совсун, Федоров",1,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
